@relation Master

@attribute almond numeric
@attribute black numeric
@attribute blue numeric
@attribute brown numeric
@attribute copper numeric
@attribute coral numeric
@attribute aquamarine numeric
@attribute gold numeric
@attribute gray numeric
@attribute green numeric
@attribute magenta numeric
@attribute maroon numeric
@attribute orange numeric
@attribute purple numeric
@attribute red numeric
@attribute silver numeric
@attribute violet numeric
@attribute yellow numeric
@attribute beige numeric
@attribute aqua numeric
@attribute cyan numeric
@attribute navy numeric
@attribute lime numeric
@attribute azure numeric
@attribute chocolate {3.09,7.92,7.1,0.82,159.47,3.52,5.92,4.54,8.62,3.31,15.7,3.76,0.03,2.34,5.18,0.8,19.51,2.57,21.22,1.6,1.43,1.25,0.21,6.41,11.89,+AC0-1.54,7.19,43.13,39.98,9.92,8.16,3.11,5.75,2.31,6.38,20.1,3.85,2.61,3.27,3.26,2.35,21.85,0.95,+AC0-50.16,1.72,26.61,0.08,4.45,2.36,3.8,10.8}
@attribute indigo numeric
@attribute oceanblue numeric
@attribute plum numeric
@attribute seagreen numeric
@attribute turquoise numeric
@attribute solver {parrot,chickadee,sparrow,plover,goose,robin,hummingbird,roadrunner,falcon}

@data
150,0.502229,0.921739,0.324074,2098,0.8796,17,0.72,234,0.757545,0.493077,9.55,0.72861,59.9429,0.04945,0.5022,167.37,82.8,2929,0.5,52,59.942857,0.01442,2929,3.09,26.709402,72,7.32,0.62037,0.72,parrot
187.967581,0.31076,0.8,0.671642,1243,0.4701,87,0.7129,147,0.367788,0.686904,11.8,1,13.8111,0.0125,0.3108,62,17.82,2790,0.31,91,13.811111,0.04046,2790,7.92,47.70522,71.29,15.46,0.61194,0.712889,parrot
237.93578,0.337027,0.56,0.798246,877,0.5439,70,0.4791,99,0.408126,0.659991,8.9,1,9.63736,0.070922,0.337,48.13,11.98,2190,0.34,74,9.637363,0.09474,2190,7.1,95.03716,47.91,20.56,0.649123,0.479121,chickadee
238.095238,0.6026,0.131429,0.2,1270,0.79,4,0.42,113,0.9768,0.391313,4.1,1,63.5,0.012059,0.6026,301.3,73.5,3013,0.11,38,63.5,0.23256,3013,0.82,115.384615,42,30.13,0.48,0.42,sparrow
240.230621,0.603911,0.833333,0.8,7305,0.992,84,0.5203,99,7.661952,0.123355,199.34,1,73.05,0.066341,0.8696,135.88,78.05,6794,0.87,15,73.05,0.10612,6794,159.47,36.923077,52.03,27.18,0.112,0.520333,plover
240.412135,0.292917,0.48,0.583333,1247,0.4417,41,0.4991,270,0.345139,0.704622,6.03,0.857143,17.8143,0.10101,0.2929,60.26,24.96,2109,0.29,83,17.814286,0.02041,2109,3.52,38.461538,49.91,8.44,0.683333,0.499143,goose
262.367491,0.321322,0.53333,0.818182,1198,0.4818,62,0.4193,273,0.383471,0.67573,7.23,0.003937,13.3111,0.014836,0.3213,43.2,18.87,1944,0.32,73,13.311111,0.02066,1944,5.92,41.958042,41.93,7.78,0.636364,0.419259,parrot
299.966855,0.287293,0.875,0.276243,5093,0.6464,17,0.6034,4,1.089832,0.711111,16.44,0.869202,101.86,0.037037,0.2873,188.24,120.68,4706,0.29,128,101.86,0.02569,4706,4.54,13.549077,60.34,10,0.486188,0.6034,robin
382.13033,0.192081,0.696667,0.362319,4868,0.4928,14,0.3611,22,2.636631,0.806516,23.8,0.043486,97.36,0.011429,0.1921,73.16,108.34,1829,0.19,110,97.36,0.083,1829,8.62,30.45976,36.11,6.66,0.847826,0.361133,robin
382.725061,0.189917,0.653846,1,612,0.4091,64,0.2874,138,0.209421,0.80834,3.31,0.967593,5.56364,0.071429,0.1899,20.89,7.47,1149,0.19,88,5.563636,0.03759,1149,3.31,99.9001,28.74,10.94,0.827273,0.287413,hummingbird
416.281221,0.175644,0.224138,1,24958,0.1688,742,0.2509,5802,0.1564,0.956887,15.7,1,31.1975,0.015,0.145,116.02,43.67,46407,0.04,682,31.1975,0.00102,46407,15.7,0.289213,25.09,9.31,1,0.360333,plover
444.11547,0.284028,0.42,0.833333,1051,0.4667,46,0.2702,312,0.333889,0.713585,4.51,1,10.51,0.00451,0.284,40.9,13.51,2045,0.28,84,10.51,0.03311,2045,3.76,64.102564,27.02,13.63,0.666667,0.2702,roadrunner
513.136289,0.043872,0.48,0.1,489,0.116,3,0.4872,42,0.04432,0.955952,0.27,1,19.56,0.010623,0.0439,109.68,24.36,1371,0.04,238,19.56,0.23684,1371,0.03,76.923077,48.72,22.85,0.956,0.4872,falcon
554.932735,0.111022,0.272727,1,642,0.16,82,0.2703,279,0.115289,0.888233,2.34,0.998336,4.28,0.008782,0.111,16.65,5.95,1249,0.11,132,4.28,0.03876,1249,2.34,61.538462,27.03,9.99,1,0.270303,chickadee
733.473096,0.255703,0.390244,1,1191,0.4188,70,0.2181,179,0.296563,0.742689,5.18,0.998336,7.44375,0.143312,0.2557,40.91,8.94,3273,0.26,118,7.44375,0.05517,3273,5.18,60.096154,21.81,27.27,0.7,0.21814,chickadee
752.089137,0.1132,0.44444,1,259,0.35,27,0.133,8,0.1198,0.885657,0.8,1,2.59,0.072425,0.1132,11.32,3.59,566,0.04,87,2.59,0.00099,566,0.8,230.769231,13.3,11.32,0.83,0.132963,parrot
809.061489,0.280156,0.49,1,8124,0.46,223,0.3708,509,0.350733,0.718907,19.51,0.003937,27.08,0.075758,0.2802,84.05,37.08,12607,0.28,214,27.08,0.00336,12607,19.51,2.564103,37.08,8.4,0.736667,0.3708,chickadee
