almond,black,blue,brown,copper,coral,aquamarine,gold,gray,green,magenta,maroon,orange,purple,red,silver,violet,yellow,beige,aqua,cyan,navy,lime,azure,chocolate,indigo,oceanblue,plum,seagreen,turquoise,solver
150,0.502229081,0.9217391304,0.3240740741,2098,0.8796,17,0.72,234,0.757544582,0.493077189,9.55,0.7286102309,59.9429,0.049449634,0.5022,167.37,82.8,2929,0.5,52,59.94285714,0.01442,2929,3.09,26.70940171,72,7.32,0.6203703704,0.72,parrot
187.967581,0.310759635,0.8,0.671641791,1243,0.4701,87,0.7129,147,0.367787926,0.686903827,11.8,1,13.8111,0.0125,0.3108,62,17.82,2790,0.31,91,13.81111111,0.04046,2790,7.92,47.70521991,71.29,15.46,0.6119402985,0.712888889,parrot
237.9357798,0.337026777,0.56,0.798245614,877,0.5439,70,0.4791,99,0.408125577,0.659990685,8.9,1,9.63736,0.070921986,0.337,48.13,11.98,2190,0.34,74,9.637362637,0.09474,2190,7.1,95.03715953,47.91,20.56,0.649122807,0.479120879,chickadee
238.0952381,0.6026,0.1314285714,0.2,1270,0.79,4,0.42,113,0.9768,0.391313131,4.1,1,63.5,0.01205917,0.6026,301.3,73.5,3013,0.11,38,63.5,0.23256,3013,0.82,115.3846154,42,30.13,0.48,0.42,sparrow
240.2306214,0.603911111,0.833333,0.8,7305,0.992,84,0.5203,99,7.661952,0.123354839,199.34,1,73.05,0.066341199,0.8696,135.88,78.05,6794,0.87,15,73.05,0.10612,6794,159.47,36.92307692,52.03,27.18,0.112,0.520333333,plover
240.4121351,0.292916667,0.48,0.5833333333,1247,0.4417,41,0.4991,270,0.345138889,0.704621849,6.03,0.8571428571,17.8143,0.101010101,0.2929,60.26,24.96,2109,0.29,83,17.81428571,0.02041,2109,3.52,38.46153846,49.91,8.44,0.6833333333,0.499142857,goose
262.3674912,0.321322314,0.53333,0.8181818182,1198,0.4818,62,0.4193,273,0.383471074,0.675729775,7.23,0.0039370079,13.3111,0.014836363,0.3213,43.2,18.87,1944,0.32,73,13.31111111,0.02066,1944,5.92,41.95804196,41.93,7.78,0.6363636364,0.419259259,parrot
299.9668545,0.287292818,0.875,0.2762430939,5093,0.6464,17,0.6034,4,1.089832423,0.711111111,16.44,0.8692023303,101.86,0.037037037,0.2873,188.24,120.68,4706,0.29,128,101.86,0.02569,4706,4.54,13.54907679,60.34,10,0.4861878453,0.6034,robin
382.1303304,0.192081495,0.69666667,0.3623188406,4868,0.4928,14,0.3611,22,2.63663096,0.80651645,23.8,0.0434855243,97.36,0.011428571,0.1921,73.16,108.34,1829,0.19,110,97.36,0.083,1829,8.62,30.45975961,36.11,6.66,0.847826087,0.361133333,robin
382.7250608,0.189917355,0.6538461538,1,612,0.4091,64,0.2874,138,0.209421488,0.808340284,3.31,0.9675925926,5.56364,0.071428571,0.1899,20.89,7.47,1149,0.19,88,5.563636364,0.03759,1149,3.31,99.9000999,28.74,10.94,0.8272727273,0.287412587,hummingbird
416.2812211,0.175644444,0.224137931,1,24958,0.1688,742,0.2509,5802,0.1564,0.956886813,15.7,1,31.1975,0.015,0.145,116.02,43.67,46407,0.04,682,31.1975,0.00102,46407,15.7,0.289213494,25.09,9.31,1,0.360333333,plover
444.11547,0.284027778,0.42,0.8333333333,1051,0.4667,46,0.2702,312,0.333888889,0.713585434,4.51,1,10.51,0.004509536,0.284,40.9,13.51,2045,0.28,84,10.51,0.03311,2045,3.76,64.1025641,27.02,13.63,0.6666666667,0.2702,roadrunner
